Name,Origin,Processing,Dry Fragrance,Wet Aroma,Brightness,Flavor,Body (Cupping),Finish,Sweetness,Clean Cup,Complexity,Uniformity,Floral,Honey,Sugars,Caramel,Fruits,Citrus,Berry,Cocoa,Nuts,Rustic,Spice,Body (Flavor),Total Score
Ethiopia Bensa Kebele Mirado,East Africa,Wet Process,2.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,9.1,9.2,9.2,9.0,8.5,8.6,9.0,8.1,9.0,8.5,88.2
Kenya Nyeri Kiruga AB,East Africa,Wet Process,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,8.8,9.1,8.8,9.0,9.0,9.1,9.5,8.8,9.2,8.5,89.80000000000001
Kenya Kiambu Fram Farm AA,East Africa,Wet Process,0.0,0.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,4.0,8.8,9.0,9.0,9.2,9.0,9.1,8.8,8.7,9.4,9.0,90.00000000000001
Kenya Kiambu Fram Farm AA,East Africa,Wet Process Kenya Type,2.0,2.0,4.0,0.0,4.0,4.0,2.0,2.0,0.0,1.0,4.0,3.0,9.2,9.5,9.5,9.3,8.8,9.1,9.0,8.2,9.6,8.5,90.7
Kenya Kiambu Fram Farm AB,East Africa,Wet Process,0.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,3.0,3.0,9.2,9.0,9.0,9.3,8.7,9.0,9.0,8.5,9.3,8.5,89.5
Kenya Kiambu Fram Farm Peaberry,East Africa,Wet Process Kenya Type,0.0,0.0,3.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,9.0,9.3,8.8,9.5,9.0,9.1,8.7,8.3,9.5,8.5,89.7
Kenya Kiambu Mandela Farm AA,East Africa,Wet Process,0.0,1.0,3.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,3.0,3.0,9.3,9.6,9.5,9.5,8.7,9.3,8.7,9.0,9.5,9.0,92.1
Kenya Kiambu Mandela Farm AB,East Africa,Wet Process,0.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,4.0,8.9,9.2,9.2,9.2,9.0,9.1,9.0,8.7,9.5,8.2,90.0
Kenya Kirinyaga Kamwangi AA,East Africa,Wet Process Kenya Type,0.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,3.0,8.8,9.1,9.2,8.9,8.8,8.4,8.7,8.2,9.2,8.5,87.8
Kenya Murang'a Gatuya AA,East Africa,Wet Process,0.0,0.0,4.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,8.8,9.3,9.2,9.0,8.7,8.7,8.7,8.2,9.6,8.5,88.7
Kenya Nyeri Chinga AB,East Africa,Wet Process,1.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,8.8,9.3,8.9,9.1,9.0,9.0,9.4,8.8,9.2,8.5,90.0
Kenya Nyeri Gatugi AA,East Africa,Wet Process Kenya Type,1.0,0.0,2.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,9.0,9.3,9.0,9.2,8.7,9.1,8.8,8.5,9.5,9.0,90.10000000000001
Costa Rica Don Oscar Arracaches,South America,Machine Washed,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,8.2,8.4,8.0,8.5,9.0,8.3,8.3,8.5,7.8,8.5,83.5
Kenya Nyeri Gatugi Peaberry,East Africa,Wet Process,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,8.8,9.0,9.1,9.2,9.0,8.7,9.5,8.7,9.2,8.5,89.7
Kenya Nyeri Githiru AA,East Africa,Wet Process,0.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,0.0,2.0,1.0,4.0,8.8,9.0,8.7,8.8,9.4,8.3,8.7,7.8,9.5,8.5,87.5
Kenya Nyeri Githiru AB,East Africa,Wet Process Kenya Type,0.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,4.0,8.7,8.8,8.5,8.8,9.3,8.7,8.7,8.3,9.0,8.2,87.0
Kenya Nyeri Ichamama Peaberry,East Africa,Wet Process,0.0,0.0,3.0,0.0,4.0,3.0,3.0,1.0,0.0,0.0,2.0,3.0,9.0,9.2,9.1,9.3,8.8,8.8,8.7,8.3,9.3,8.5,88.99999999999999
Kenya Nyeri Kamoini AA,East Africa,Wet Process Kenya Type,1.0,0.0,3.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,8.5,9.0,9.5,8.9,8.7,8.4,8.6,8.3,9.2,8.1,87.19999999999999
